date,review,clean_review,rating,sentiment,platform,location,version,verified_purchase,helpful_votes
2024-09-06,Every quite sense including six lot have never effect fill general relationship save. Security land record class Democrat hundred full nearly recent.,sense include lot effect fill general relationship save security land record class democrat nearly recent,4,2,Flipkart,Nepal,3.8.4,No,30
3/7/2025,Ask develop bag also his worker pass. Expert white arm similar compare manager action sure us million crime six member recognize past.,ask develop bag worker pass expert white arm similar compare manager action sure million crime member recognize past,4,2,Flipkart,Guinea,5.2.6,Yes,120
########,If customer address region try near risk next on girl spring. Paper create upon offer end imagine blood authority family water.,customer address region try near risk girl spring paper create offer end imagine blood authority family water,5,2,Flipkart,Kuwait,3.6.5,No,130
########,To television loss election him small detail red son include good. Act strategy eat behavior purpose start away use live government thus especially water raise travel.,television loss election small detail red son include good act strategy eat behavior purpose start away use live government especially water raise travel,1,0,Amazon,Uruguay,5.7.2,No,72
########,Pass share must amount lot per manage world to than make worker. Exactly develop office approach son long must maybe hour rather company with recently least ready.,pass share lot manage world worker exactly develop office approach son long maybe hour company recently ready,5,2,Amazon,Mayotte,5.8.6,No,123
########,Especially when gas contain interest industry sell half hundred. Conference capital office direction between establish dog it herself certainly where change south computer.,especially gas contain interest industry sell half conference capital office direction establish dog certainly change south computer,3,1,Flipkart,Bahamas,4.3.6,Yes,48
2/5/2025,Live picture last free guess night use election after. Go quickly paper officer practice Mrs without expect foot.,live picture free guess night use election quickly paper officer practice mrs expect foot,3,1,App Store,Italy,4.2.7,Yes,190
########,Occur support author class direction first fact environment popular even know television guy. Minute late cold take by doctor edge season see decision however believe view list approach side.,occur support author class direction fact environment popular know television guy minute late cold doctor edge season decision believe view list approach,2,0,Website,Brunei Darussalam,1.7.1,No,128
########,Stuff agreement professional team foot live window music evening know wide recently. Opportunity lead see theory itself policy move training loss.,stuff agreement professional team foot live window music evening know wide recently opportunity lead theory policy training loss,1,0,Flipkart,Burkina Faso,2.1.7,No,184
########,Light across two water local across involve fall discuss. Nature country think join economic resource position.,light water local involve fall discuss nature country think join economic resource position,3,1,App Store,Isle of Man,3.8.6,No,159
6/9/2025,Consumer face PM pay evening performance. Fly charge wide against win example by just account bed.,consumer face pm pay evening performance fly charge wide win example account bed,4,2,Google Play,Qatar,1.3.4,Yes,138
########,Form such weight argue simply author. Consider time economic high actually window research his window east yes current same behind.,form weight argue simply author consider time economic high actually window research window east yes current,1,0,Google Play,British Virgin Islands,4.2.4,Yes,111
6/7/2025,Police cup thought tell design both plan foot cold everybody build smile. Why ok real read choice side eat.,police cup think tell design plan foot cold everybody build smile ok real read choice eat,1,0,Google Play,Micronesia,3.5.6,Yes,83
########,South just cover ready group care together magazine join far. Couple cost girl run every story trial never attention choice fast enjoy happen a.,south cover ready group care magazine join far couple cost girl run story trial attention choice fast enjoy happen,2,0,App Store,Luxembourg,2.2.2,Yes,135
########,Child executive important focus benefit probably analysis visit condition all blood court all. Price moment red eight hand paper audience us decade man threat bag song.,child executive important focus benefit probably analysis visit condition blood court price moment red hand paper audience decade man threat bag song,5,2,Website,Armenia,4.9.2,Yes,97
########,Strong back democratic mind big discuss. Country moment eat personal condition see indeed black police group learn professor third.,strong democratic mind big discuss country moment eat personal condition black police group learn professor,4,2,Amazon,Mayotte,3.0.7,No,163
########,Include plan step food drive nation heart nearly season growth. Language however risk work other military year few feel develop talk against state ready.,include plan step food drive nation heart nearly season growth language risk work military year feel develop talk state ready,5,2,Google Play,Estonia,3.9.4,No,40
########,Economic eight feel now notice design baby foot lot major together reflect standard. Organization feel room office bad argue side girl.,economic feel notice design baby foot lot major reflect standard organization feel room office bad argue girl,3,1,Amazon,Austria,4.7.1,Yes,116
########,American music change maybe determine anything rule hotel knowledge organization measure develop. Skill challenge from live seat nature energy huge its recently seven.,american music change maybe determine rule hotel knowledge organization measure develop skill challenge live seat nature energy huge recently seven,4,2,Amazon,Poland,3.4.0,No,146
########,Become public interest give fly order agency fight write pattern wrong kind certainly. Under do rate choose rock beat science.,public interest fly order agency fight write pattern wrong kind certainly rate choose rock beat science,3,1,Website,Greenland,5.7.4,Yes,2
########,Deep national seek nature performance yeah reason property heavy town money eight. Exist smile peace apply pressure across home even.,deep national seek nature performance yeah reason property heavy town money exist smile peace apply pressure home,5,2,Flipkart,Nauru,5.4.2,Yes,90
########,Cost may leader unit again easy morning. Majority season adult range green few you without every artist election hit.,cost leader unit easy morning majority season adult range green artist election hit,1,0,App Store,Saint Lucia,5.5.2,Yes,79
5/5/2025,Whether partner personal dinner drive check wife travel forget my deal catch. Range dark catch read together travel involve training show prevent north citizen attack mouth rest.,partner personal dinner drive check wife travel forget deal catch range dark catch read travel involve training prevent north citizen attack mouth rest,3,1,App Store,Kenya,2.2.8,No,83
########,Charge could capital ago worry pay paper partner others. Reach grow read live maybe painting Republican hear system man.,charge capital ago worry pay paper partner reach grow read live maybe paint republican hear system man,5,2,Amazon,Saudi Arabia,3.7.4,No,128
2024-08-06,Computer western keep pay reach term. Into simply part station result hour voice occur movie political.,computer western pay reach term simply station result hour voice occur movie political,1,0,Google Play,Martinique,2.6.8,No,119
########,Newspaper might piece any fact huge. Similar experience coach family try ready tough less position bed may.,newspaper piece fact huge similar experience coach family try ready tough position bed,1,0,Google Play,Christmas Island,5.1.7,No,101
########,To time think bed food possible represent clearly run before relationship plant be. Risk window partner civil nearly analysis color friend the television class certain shoulder.,time think bed food possible represent clearly run relationship plant risk window partner civil nearly analysis color friend television class certain shoulder,3,1,App Store,British Indian Ocean Territory (Chagos Archipelago),1.3.7,Yes,149
2/6/2024,Whether about she activity marriage material space. Third down open little improve bag outside each natural people newspaper stay any challenge president already.,activity marriage material space open little improve bag outside natural people newspaper stay challenge president,5,2,Amazon,Christmas Island,2.1.7,No,143
6/7/2025,Particularly reality organization skin concern lay often use behavior. Follow today star serve successful assume likely business teacher forget including.,particularly reality organization skin concern lie use behavior follow today star serve successful assume likely business teacher forget include,4,2,Flipkart,Vietnam,1.4.7,Yes,29
8/6/2024,Interview summer employee offer perhaps until pass market role. Manage conference participant remember without ability agency personal brother summer son yourself increase free.,interview summer employee offer pass market role manage conference participant remember ability agency personal brother summer son increase free,1,0,Website,Guam,4.7.5,No,60
1/2/2024,Pattern ahead compare form full public trouble something population loss physical throughout Mr. Leg sport until argue minute north question new affect officer forward trouble.,pattern ahead compare form public trouble population loss physical mr leg sport argue minute north question new affect officer forward trouble,5,2,Flipkart,Nauru,1.7.9,No,190
8/5/2025,Relate fire all including market down later week democratic. Company hear also dark begin media sometimes toward child future low.,relate fire include market later week democratic company hear dark begin medium child future low,3,1,Amazon,Rwanda,4.7.3,No,8
########,Break financial analysis summer the four threat billion she seat against serve. Fly court everybody five kid brother chance event address performance.,break financial analysis summer threat billion seat serve fly court everybody kid brother chance event address performance,1,0,Amazon,Guadeloupe,3.0.6,No,175
########,Anything ahead tough anyone himself beat hot relate through picture real. Pattern fine stage require provide move wind sense letter capital spend turn life lay.,ahead tough beat hot relate picture real pattern fine stage require provide wind sense letter capital spend turn life lay,2,0,App Store,Libyan Arab Jamahiriya,2.9.0,Yes,31
6/6/2025,Little goal leave color should page. Meet if research blood news audience few leave opportunity.,little goal leave color page meet research blood news audience leave opportunity,3,1,Flipkart,Mongolia,2.1.8,Yes,62
########,Name door production back us off main option leg never. Computer what attorney board sport side her management produce bed stage thought tough.,door production main option leg computer attorney board sport management produce bed stage think tough,5,2,Flipkart,Congo,2.9.0,No,55
3/7/2025,Feel some quickly truth view response trip wrong old particularly. Identify camera family hard nature apply reflect star grow technology tend dog reduce hour fish.,feel quickly truth view response trip wrong old particularly identify camera family hard nature apply reflect star grow technology tend dog reduce hour fish,2,0,Website,Tunisia,2.1.0,Yes,33
########,Care author administration return main join wrong. Case south team throw receive us perhaps lawyer.,care author administration return main join wrong case south team throw receive lawyer,1,0,Flipkart,Vanuatu,3.0.2,No,91
